adiaux,さようなら
bis,アンコール！
hura,万歳！
uxa,ワァ！
kia,どのような
tia,そんな，あんな
cxia,すべての
kies,だれの
nenia,どんな～も～ない
ali,他の
alt,高い
bel,美しい
bon,良い
jun,若い
nov,新しい
sam,同一の
fort,強い
grav,重要な
kelk,幾つかの
last,最後の
long,長い
mult,多くの
plen,いっぱいの
ricx,金持ちの
rugx,赤い
facil,容易な
grand,大きい
liber,自由な
rapid,速い
felicx,幸福な
proksim,近い
fru,早い
pur,純粋な
sol,唯一の
ver,本当の
cert,確かな
nigr,黒い
varm,暑い
afabl,愛想のよい
blank,白い
dolcx,甘い
neces,必要な
propr,固有の
simpl,簡単な
dekstr,右の
kuragx,勇気ある
trankvil,平静な
blu,青い
dik,太い
gaj,陽気な
hel,明るい
kar,親愛な
lac,疲れた
san,健康な
sat,満腹した
just,正義の
prav,正当な
pret,用意の整った
util,有用な
verd,緑の
apart,別々の
atent,注意深い
fremd,他国の
gxust,正しい
komun,共通の
largx,幅の広い
agrabl,快い
divers,様々な
intern,内部の
suficx,十分な
kontent,満足な
profund,深い
mol,柔らかい
pez,重い
sek,乾いた
brun,褐色の
egal,等しい
flav,黄色の
griz,灰色の
kulp,罪のある
lert,器用な
rekt,まっすぐな
sagx,賢明な
vast,広い
ceter,残りの
fresx,新鮮な
simil,よく似た
kapabl,有能な
serioz,まじめな
efektiv,現実の
ordinar,普通の
akr,鋭い
fam,名高い
ies,だれかの
avar,欲の深い
dens,濃い
eben,平らな
fier,誇りたかい
firm,堅固な
nepr,必然の
plat,平たい
plur,複数の
surd,つんぼの、耳が聞こえない
vigl,活発な
fidel,忠実な
kviet,静かな
matur,成熟した
sankt,神聖な
spert,経験を積んだ
subit,不意の
tauxg,役立つ
honest,正直な
konven,ふさわしい
plur,複数の
preciz,正確な
strang,奇妙な
delikat,繊細な
gxentil,礼儀正しい
komfort,安楽な
pacienc,我慢強い
special,特別の
gxeneral,全般の
konstant,不変の
lam,びっこの
mut,唖の
nud,裸の
pal,青ざめた
ruz,ずるい
van,むなしい
acid,酸っぱい
glat,なめらかな
kler,教養ある
krud,生の
mild,温和な
abund,有り余るほどの
blind,盲目の
blond,金髪の
cxarm,魅力的な
etern,永遠の
favor,好意的な
graci,優美な
humil,謙虚な
lauxt,大声の
sever,厳しい
stult,愚鈍な
fortik,頑丈な
frenez,気の狂った
kurioz,珍奇な
privat,私的な
sincer,誠実な
evident,明白な
oportun,便利な
prudent,思慮深い
sci/vol##,好奇心のある
diligent,勤勉な
proksim/um##,およその
ard,白熱の
avid,渇望している
brav,勇敢な
ebri,酔った
krut,切り立った
naiv,無邪気な
nobl,高潔な
sobr,節制の
humid,湿気のある
ident,同一の
komik,こっけいな
kripl,不具の
kruel,残酷な
moder,適度の
sagac,明敏な
seren,おだやかな
sprit,機知に富んだ
akurat,時間厳守の
fervor,熱心な
inklin,傾向のある
jxaluz,嫉妬深い
kapric,気まぐれの
modern,現代の
modest,控え目な
nenies,誰の～でもない
normal,正常な
sovagx,野生の
ekstrem,ぎりぎりの
elegant,上品な
eminent,優れた
komplet,完全な
oficial,公式の
perfekt,完全な
probabl,ありそうな
reciprok,相互の
indiferent,無関心な
inteligent,聡明な
amar,苦い
imun,免疫の
real,現実の
ties,それ・あれの
unik,特異な
vant,虚栄の
virg,純潔な
aktiv,活動的な
civil,市民の
cxies,各人の，皆の
elast,弾力のある
human,人間的な
intim,親密な
kaduk,老朽の
koket,なまめかしい
lojal,忠義な
malic,悪意の
mir/ind##,不思議な
rauxk,しわがれ声の
rigid,硬直した
sekur,安全な
solen,荘厳な
tener,優しい
valid,有効な
abrupt,突然の
absurd,非常識な
aktual,現存の
arbitr,任意の
auxdac,ずぶとい
ekzakt,精密な
furioz,怒り狂った
graved,妊娠した
klasik,古典の
majest,尊厳な
nervoz,神経質な
oblikv,斜めの
obstin,頑固な
plen/agx##,成年の
social,社会的な
subtil,微細な
tragik,悲惨な
absolut,絶対の
kontant,現金の
popular,人気のある
relativ,相対的な
sin/don##,献身的な
solidar,連帯の
vegetar,菜食の
familiar,心安い
grandioz,雄大な
kolektiv,集合的な
sin/gard##,用心のための
kompetent,適任の
universal,普遍的な
kvit,借のない
miop,近視の
punc,ひなげし色の
ranc,酸敗した
cxast,貞節な
ekstr,特別の
masiv,どっしり重い
antikv,古代の
arogant,横柄な
konform,適合した
trivial,野卑な
elokvent,雄弁な
kriminal,刑事上の
predikat,述部
akut,鋭角の
dual,二重の
hirt,逆立った
kalv,はげた
banal,ありふれた
cinik,冷笑的な
gotik,ゴシック式の
inert,惰性的な
obtuz,鈍い
okult,神秘術の
pasiv,受身の
rigor,厳格な
stoik,ストア学派の
analog,類似の
anonim,匿名の
arkaik,古風な
diafan,半透明の
efemer,はかない
erotik,性愛の
fiktiv,fikcia
formal,外形的な
frivol,軽はずみな
intens,強烈な
invers,逆の
konciz,簡潔な
konkav,凹の
mistik,神秘主義的な
neuxtr,中性の
vulgar,通俗の
akcesor,副の
apokrif,偽作の
arhxaik,arkaika
burlesk,道化た
decimal,十進法の
diskret,口の固い
fanatik,狂信的な
grotesk,グロテスクな
konkret,具体的な
kontinu,連続的な
liberal,自由主義の
monoton,単調な
negativ,消極的の
nominal,名目上の
pozitiv,積極的な
radikal,急進的な
skeptik,懐疑的な
solvent,支払能力のある
abstrakt,抽象的な
auxtonom,自治の
eventual,起こり得る
inkluziv,含んだ
neuxtral,中立の
objektiv,客観的な
ortodoks,正統の
primitiv,原始的な
provizor,臨時の
racional,有理の
romantik,ロマンチックな
sinoptik,一覧用の
spontane,自発的な
auxtentik,真正の
definitiv,最終決定の
ekskluziv,排他的な
korelativ,相関的な
respektiv,それぞれの
subjektiv,主観的な
transitiv,他動の
spekulativ,思弁的な
impertinent,厚かましい
konservativ,保守派の
sentimental,感傷的な
dek,十
mil,千
sep,七
ses,六
tri,三
unu,一
cent,百
kvar,四
kvin,五
naux,九
aux,または
nek,～もまた～ない
sed,しかし
kvankam,けれども
plus,プラス
minus,マイナス
cxe,ところで
kun,共に
per,よって
pri,ついて
pro,ために
sen,なしで
sub,下に
sur,上に
tra,通って
apud,そばに
krom,ほかに
laux,沿って
post,後で
inter,間に
super,上方に
trans,向こうに
antaux,前に
ekster,外で
preter,そばを通って
kontraux,向かって
malgraux,にもかかわらず
gxi,それ
ili,それら
kio,何
oni,人々
sxi,彼女
tio,それ，あれ
cxio,すべて
nenio,何も～ない
tio cxi##,これ
dis,分散
mal,正反対
cxef,主
eks,前
mis,誤り
pra,原始
dev,しなければならない
dir,言う
don,与える
est,である
far,する
fin,終える
hav,持っている
kon,知っている
leg,読む
lev,上げる
met,置く
mov,動かす
pet,頼む
pov,できる
rid,笑う
sci,知っている
sid,座っている
ten,支え持つ
ven,来る
vid,見る，会う
viv,生きている
vol,意志がある
gxoj,喜ぶ
help,手助けする
kred,信じる
lern,学習する
logx,住む
mort,死ぬ
okaz,起こる
port,持ち運ぶ
pren,手に取る
sekv,付き従う
send,送る
star,立っている
dezir,望む
labor,働く
milit,戦争する
montr,示す
parol,話しをする
ricev,受取る
skrib,書く
sxajn,見える
vetur,行く
demand,質問する
komenc,始める
kompren,理解する
respond,答える
bat,打つ
fal,落ちる
kri,叫ぶ
kur,走る
las,手放す
lum,光っている
mir,不思議に思う
pag,支払う
pas,通過する
reg,統治する
son,音がする
tim,恐れる
tir,引く
auxd,聞く
brul,燃える
dank,感謝する
dorm,眠っている
ferm,閉める
flug,飛ぶ
halt,止まる
jxet,投げる
kant,歌う
kost,価する
mank,欠けている
nask,生む
okup,占めている
pens,思う
perd,失う
prem,押える
prov,試す
sent,感じる
turn,回す
acxet,買う
atend,待つ
bezon,必要とする
kresk,成長する
mangx,食べる
memor,覚えている
sercx,捜す
trink,飲む
konsil,助言する
permes,許可する
postul,要求する
rakont,物語る
rigard,見る
rimark,気づく
sxangx,変える
vojagx,旅行する
konstru,建造する
prezent,差し出す
renkont,出会う
bru,騒音を出す
dub,疑う
lav,洗う
lud,遊ぶ
pen,努力する
vek,目覚めさせる
vok,呼ぶ
aper,現れる
bril,輝く
erar,誤る
fest,祝う
frap,たたく
gajn,かち取る
kapt,捕える
kasx,隠す
kovr,おおう
kuir,料理する
kusx,横たわっている
pasx,歩く
plor,泣く
romp,破壊する
salt,跳躍する
serv,仕える
tusx,触れる
vend,売る
zorg,世話をする
batal,戦う
elekt,選ぶ
esper,希望する
koler,怒っている
mezur,計る
opini,意見である
ordon,命令する
plend,不満を訴える
ripoz,休息する
salut,挨拶する
sufer,苦しむ
akcept,受入れる
forges,忘れる
kalkul,計算する
komerc,商売する
konduk,導く
pardon,ゆるす
silent,黙っている
trancx,切る
konsent,同意する
auxskult,聴く
ban,水浴させる
flu,流れる
kre,創造する
mok,あざける
amuz,楽しませる
cxes,止む
efik,効果をあげる
gard,見張る
jugx,裁判する
klin,傾ける
pend,掛っている
pusx,押す
spir,呼吸する
stud,研究する
sxat,価値を認める
tond,刈る
traf,命中する
ating,着く
decid,決定する
estim,尊敬する
invit,招待する
kurac,治療する
marsx,行進する
placx,気に入る
ripet,繰り返す
sxlos,鍵をかける
sxtel,盗む
vizit,訪問する
arangx,整える
ekzist,存在する
instru,教える
intenc,意図する
kompat,あわれむ
prefer,より好む
prepar,用意する
promen,散歩する
promes,約束する
sukces,成功する
konserv,保存する
bol,沸騰する
kis,キスする
obe,服従する
paf,撃つ
pel,追いたてる
pik,刺す
