adiaux,さよなら
bis,再演
hura,万歳
uxa,わぁ
kia,どんな
tia,そんな
cxia,全て
kies,誰の
nenia,何もない
ali,他
alt,高い
bel,美
bon,良い
jun,若い
nov,新
sam,同じ
fort,強い
grav,重要
kelk,幾つか
last,最終
long,長い
mult,多い
plen,満杯
ricx,金持
rugx,赤
facil,簡単
grand,大きい
liber,自由
rapid,速い
felicx,幸せ
proksim,近い
fru,早
pur,純粋
sol,唯一
ver,真
cert,確か
nigr,黒
varm,熱い
afabl,親切
blank,白
dolcx,甘い
neces,必要
propr,固有
simpl,簡単
dekstr,右
kuragx,勇敢
trankvil,静か
blu,青
dik,太い
gaj,楽しい
hel,助ける
kar,親愛
lac,疲れ
san,健康
sat,満腹
just,正義
prav,正当
pret,準備
util,役立つ
verd,緑
apart,別々
atent,注意
fremd,外国の
gxust,正しい
komun,共通
largx,広い
agrabl,心地よい
divers,多様な
intern,内部
suficx,十分
kontent,満足
profund,深い
mol,柔らかい
pez,重
sek,乾
brun,茶色
egal,同等
flav,黄色
griz,灰色
kulp,有罪
lert,上手な
rekt,直
sagx,賢い
vast,広い
ceter,残り
fresx,新鮮
simil,似た
kapabl,有能
serioz,真面目
efektiv,実現
ordinar,普通
akr,鋭
fam,有名
ies,誰かの
avar,貪欲
dens,濃い
eben,平ら
fier,誇り
firm,堅い
nepr,必然
plat,平ら
plur,多
surd,聾
vigl,活発
fidel,忠実
kviet,静か
matur,成熟
sankt,聖
spert,熟練
subit,突然
tauxg,役立
honest,正直
konven,適当
plur,複数
preciz,精密
strang,変な
delikat,繊細
gxentil,礼儀
komfort,快適
pacienc,忍耐
special,特別
gxeneral,全般
konstant,一定
lam,足不自由
mut,無言
nud,裸
pal,青白い
ruz,ずるい
van,空しい
acid,酸
glat,滑らか
kler,教養
krud,粗い
mild,穏やか
abund,豊富
blind,盲
blond,金髪
cxarm,魅力
etern,永遠
favor,好意
graci,優美
humil,謙虚
lauxt,大声
sever,厳格
stult,愚か
fortik,強い
frenez,狂気
kurioz,珍奇
privat,私的
sincer,誠実
evident,明白
oportun,便利
prudent,賢明
sci/vol##,
diligent,勤勉
proksim/um##,
ard,熱
avid,熱望
brav,勇敢
ebri,酔う
krut,急な
naiv,素朴
nobl,高潔
sobr,節制
humid,湿った
ident,同一
komik,おかしい
kripl,不具
kruel,残酷
moder,適度
sagac,賢い
seren,穏やか
sprit,機知
akurat,厳守
fervor,熱心
inklin,傾向
jxaluz,嫉妬
kapric,気まぐれ
modern,現代
modest,控え目
nenies,誰のでもない
normal,正常
sovagx,野生
ekstrem,極限
elegant,上品
eminent,優秀
komplet,完璧
oficial,公式
perfekt,完璧
probabl,可能
reciprok,相互
indiferent,無関心
inteligent,賢い
amar,苦い
imun,免疫
real,現実
ties,その
unik,特異
vant,虚栄
virg,純潔
aktiv,活動的
civil,市民
cxies,皆の
elast,弾力
human,人間
intim,親密
kaduk,老朽
koket,色っぽい
lojal,忠実
malic,悪意
mir/ind##,
rauxk,しわがれ
rigid,硬い
sekur,安全
solen,荘厳
tener,優しい
valid,有効
abrupt,急な
absurd,不合理
aktual,現存
arbitr,任意
auxdac,厚かましい
ekzakt,正確
furioz,激怒
graved,妊娠
klasik,古典
majest,威厳
nervoz,神経質
oblikv,斜め
obstin,頑固
plen/agx##,
social,社会
subtil,細かい
tragik,悲劇
absolut,絶対
kontant,現金
popular,人気
relativ,相対
sin/don##,
solidar,連帯
vegetar,菜食
familiar,親しい
grandioz,壮大
kolektiv,集団
sin/gard##,
kompetent,有能
universal,普遍
kvit,完済
miop,近視
punc,ポピー
ranc,腐った
cxast,貞節
ekstr,特別
masiv,重い
antikv,古代
arogant,傲慢
konform,適合
trivial,些細な
elokvent,雄弁
kriminal,犯罪
predikat,述語
akut,鋭い
dual,二重
hirt,逆立つ
kalv,はげ
banal,平凡
cinik,冷笑
gotik,ゴシック
inert,惰性
obtuz,鈍い
okult,秘術
pasiv,受動
rigor,厳格
stoik,ストア
analog,類似
anonim,匿名
arkaik,古風
diafan,半透明
efemer,儚い
erotik,エロ
fiktiv,架空
formal,形式的
frivol,軽率
intens,強い
invers,逆
konciz,簡潔
konkav,凹
mistik,神秘的
neuxtr,中性
vulgar,俗
akcesor,付属
apokrif,偽書
arhxaik,古代
burlesk,滑稽
decimal,十進法
diskret,無口
fanatik,狂信
grotesk,奇怪な
konkret,具体
kontinu,継続
liberal,自由主義
monoton,単調
negativ,否定的
nominal,名目
pozitiv,積極的
radikal,急進
skeptik,懐疑的
solvent,支払可
abstrakt,抽象
auxtonom,自治
eventual,可能な
inkluziv,含む
neuxtral,中立
objektiv,客観的
ortodoks,正統
primitiv,原始的
provizor,臨時
racional,有理
romantik,ロマンチック
sinoptik,一覧
spontane,自発的
auxtentik,本物
definitiv,最終的
ekskluziv,独占的
korelativ,相関
respektiv,各々の
subjektiv,主観的
transitiv,他動詞
spekulativ,思弁
impertinent,無礼
konservativ,保守派
sentimental,感傷的
dek,10
mil,千
sep,七
ses,6
tri,三
unu,一
cent,百
kvar,四
kvin,五
naux,九
aux,また
nek,もない
sed,だが
kvankam,けど
plus,プラス
minus,負
cxe,で
kun,共に
per,により
pri,について
pro,ため
sen,なし
sub,下
sur,上
tra,通る
apud,そば
krom,他に
laux,沿って
post,後
inter,間
super,上方
trans,向こう
antaux,前に
ekster,外で
preter,通過
kontraux,対して
malgraux,にもかかわらず
gxi,それ
ili,彼ら
kio,何
oni,人
sxi,彼女
tio,それ
cxio,全て
nenio,何も
tio cxi##,
dis,分散
mal,反
cxef,主
eks,元
mis,誤
pra,原初
dev,するべき
dir,言う
don,与える
est,である
far,する
fin,終わる
hav,持つ
kon,知る
leg,読む
lev,上げる
met,置く
mov,動かす
pet,頼む
pov,できる
rid,笑う
sci,知る
sid,座る
ten,支える
ven,来る
vid,見る
viv,生きる
vol,意志
gxoj,喜ぶ
help,助ける
kred,信じる
lern,学ぶ
logx,住む
mort,死
okaz,起きる
port,運ぶ
pren,取る
sekv,従う
send,送る
star,立つ
dezir,望む
labor,労働
milit,戦う
montr,示す
parol,話す
ricev,受け取る
skrib,書く
sxajn,見える
vetur,行く
demand,質問
komenc,始める
kompren,理解
respond,答える
bat,打つ
fal,落ちる
kri,叫ぶ
kur,走る
las,放す
lum,光
mir,驚く
pag,払う
pas,通る
reg,治める
son,音
tim,恐れる
tir,引く
auxd,聞く
brul,燃焼
dank,感謝
dorm,眠る
ferm,閉める
flug,飛ぶ
halt,止める
jxet,投げる
kant,歌う
kost,値する
mank,欠ける
nask,生む
okup,占有
pens,考える
perd,失う
prem,押す
prov,試す
sent,感じる
turn,回す
acxet,買う
atend,待つ
bezon,要る
kresk,成長
mangx,食べる
memor,覚える
sercx,探す
trink,飲む
konsil,助言
permes,許可
postul,要求
rakont,語る
rigard,見る
rimark,気づく
sxangx,変える
vojagx,旅する
konstru,建造
prezent,出す
renkont,会う
bru,騒ぐ
dub,疑う
lav,洗う
lud,遊ぶ
pen,努める
vek,起こす
vok,呼ぶ
aper,出る
bril,輝く
erar,間違う
fest,祝う
frap,叩く
gajn,勝つ
kapt,捕る
kasx,隠す
kovr,覆う
kuir,調理する
kusx,横たわる
pasx,歩
plor,泣く
romp,壊す
salt,跳ぶ
serv,奉仕
tusx,触れる
vend,売る
zorg,世話
batal,戦う
elekt,選ぶ
esper,希望
koler,怒る
mezur,測る
opini,意見
ordon,命令
plend,不満
ripoz,休む
salut,挨拶
sufer,苦しむ
akcept,受け入れる
forges,忘れる
kalkul,計算
komerc,商売
konduk,導く
pardon,許す
silent,黙る
trancx,切る
konsent,同意
auxskult,聴く
ban,水浴
flu,流れる
kre,創る
mok,嘲る
amuz,楽しむ
cxes,止む
efik,効果
gard,監視
jugx,裁判
klin,傾ける
pend,掛かる
pusx,押す
spir,息する
stud,研究
sxat,好む
tond,刈る
traf,当たる
ating,到着
decid,決定
estim,尊敬
invit,招待
kurac,治す
marsx,行進
placx,気に入る
ripet,繰り返す
sxlos,施錠
sxtel,盗む
vizit,訪問
arangx,整える
ekzist,存在
instru,教える
intenc,意図
kompat,哀れむ
prefer,好む
prepar,準備
promen,散歩
promes,約束
sukces,成功
konserv,保存
bol,沸く
kis,キス
obe,従う
paf,撃つ
pel,追う
pik,刺す
pun,罰する
sav,救助
tus,咳
akir,得る
apog,支える
atak,攻撃
bala,掃く
blov,吹く
cxas,狩る
danc,踊
eduk,教育
evit,避ける
fleg,看護
glit,滑る
gvid,導く
gxen,邪魔
hejt,暖める
hont,恥
imag,想像
imit,模倣
komb,梳く
mend,注文
miks,混ぜる
nagx,泳ぐ
plug,耕す
pres,印刷
soif,渇く
spez,支出
sxir,裂く
trem,震
trov,見つける
venk,勝つ
visx,拭く
volv,巻く
anonc,公表
aprob,賛成
avert,警告
merit,値する
minac,脅す
pentr,描く
posed,持つ
pregx,祈る
rifuz,拒否
rilat,関係
ripar,直す
skrap,削る
sxerc,冗談
tromp,だます
defend,守る
desegn,描く
esting,消す
inform,報告する
kompar,比べる
kondut,行動
konfes,告白
konsci,意識
kultur,育てる
mensog,嘘
rezult,結果
rikolt,収穫
strecx,緊張
sxovel,掘る
akompan,同行
aparten,属する
bedauxr,悔やむ
konsist,構成
organiz,組織する
progres,進歩
respekt,尊敬
riprocx,責める
diferenc,違い
rekomend,推薦
korespond,文通
enu,退屈
fid,信頼
gxu,楽しむ
hak,切る
log,魅了
pek,罪
pes,量る
raz,剃る
dron,溺れる
fajf,口笛
fand,溶かす
farm,耕す
fart,暮らす
frot,擦る
gxem,うめく
krev,裂く
kudr,縫う
mord,噛む
muel,挽く
nutr,養う
odor,臭
rajd,乗る
solv,解決
taks,評価
teks,織る
tent,誘惑
urgx,緊急
babil,おしゃべり
detru,破壊
difin,定義
distr,気散
diven,見抜く
divid,分割
etend,伸ばす
evolu,進化
forgx,鍛える
frand,食べる
grimp,登る
hezit,躊躇
krocx,引っ掛ける
lauxd,称賛
mason,築く
ofert,提供
ornam,飾る
petol,いたずら
songx,夢見る
stern,敷く
supoz,想定
sxirm,守る
sxpar,節約
sxtop,詰める
sxuld,負債
sxvel,膨張
toler,耐える
versx,注ぐ
aspekt,見える
dauxr/ig##,
difekt,損傷
diskut,討議
domagx,惜しむ
ekscit,興奮
ekzerc,訓練
esplor,探求
esprim,表現
