adiaux,再见
bis,安可
hura,欢呼
uxa,哇！
kia,什么样
tia,那样
cxia,全
kies,谁的
nenia,无任何
ali,另
alt,高
bel,美丽
bon,好
jun,年轻
nov,新
sam,同一
fort,强壮
grav,重要
kelk,一些
last,最后
long,长
mult,多量
plen,满的
ricx,富裕
rugx,红色
facil,容易
grand,大
liber,自由
rapid,快
felicx,幸福
proksim,近
fru,早
pur,纯洁
sol,独自
ver,真
cert,确定
nigr,黑色
varm,暖
afabl,和气
blank,白
dolcx,甜美
neces,必要
propr,特有
simpl,简单
dekstr,右边
kuragx,勇敢
trankvil,宁静
blu,蓝
dik,粗
gaj,喜悦
hel,亮
kar,亲爱的
lac,累
san,健康
sat,饱
just,公正
prav,正当
pret,准备好
util,有用
verd,绿
apart,单独的
atent,注意
fremd,外国
gxust,正确
komun,共同
largx,宽广
agrabl,愉快
divers,多样
intern,内在的
suficx,足够
kontent,满意
profund,深刻
mol,软
pez,重
sek,干燥
brun,褐色
egal,平等
flav,黄色
griz,灰色
kulp,有罪
lert,灵巧
rekt,直达
sagx,聪明
vast,宽广
ceter,其余
fresx,新鲜
simil,相似
kapabl,能干的
serioz,严肃
efektiv,实际
ordinar,普通
akr,锐
fam,著名
ies,某人的
avar,贪婪
dens,浓密
eben,平整
fier,骄傲
firm,坚固
nepr,必然
plat,扁平
plur,多
surd,聋
vigl,活跃
fidel,忠实
kviet,静
matur,成熟
sankt,神圣
spert,经验
subit,突然
tauxg,合格
honest,诚实
konven,合适
plur,多种
preciz,精确
strang,奇怪
delikat,精美
gxentil,彬彬
komfort,舒适
pacienc,耐心
special,特别
gxeneral,全体的
konstant,恒定
lam,跛
mut,哑
nud,裸
pal,苍白
ruz,狡猾
van,徒劳
acid,酸的
glat,平滑
kler,有文化
krud,粗糙
mild,温和
abund,丰富
blind,盲目
blond,金黄
cxarm,迷人
etern,永恒
favor,偏爱的
graci,优雅
humil,谦逊
lauxt,响亮
sever,严厉
stult,愚笨
fortik,坚固
frenez,疯狂
kurioz,稀奇
privat,私人的
sincer,真诚
evident,显然
oportun,便利
prudent,明智
sci/vol##,
diligent,勤奋
proksim/um##,
ard,白热
avid,渴望
brav,英勇
ebri,醉
krut,陡峭
naiv,天真
nobl,高贵
sobr,清醒
humid,湿润
ident,相同
komik,滑稽
kripl,残疾
kruel,残忍
moder,适中
sagac,精明
seren,宁静
sprit,灵巧
akurat,准时
fervor,热情
inklin,倾向
jxaluz,嫉妒
kapric,任性
modern,现代
modest,谦虚
nenies,無主的
normal,正常
sovagx,野生
ekstrem,极端
elegant,优雅
eminent,杰出
komplet,全备
oficial,官方
perfekt,完美
